model_name	task_type	dataset	setting	n_success	AUROC_mean	AUROC_sd	AUPR_mean	AUPR_sd	ACC_mean	ACC_sd	F1_mean	F1_sd	MCC_mean	MCC_sd	Brier_mean	Brier_sd	ECE_mean	ECE_sd	NLL_mean	NLL_sd	loss_mean	loss_sd	schema_note	source_root	source_file
Bi-SGTAR	CDA	Dataset1	random	25	0.5496984676223431	0.037551920371524355	0.5157676022526776	0.03288802293405928	0.5332773109243698	0.02773639708197941	0.5286282309264717	0.02938227303675835	0.06676067292379664	0.0556132583279732	0.24720307700856728	0.004326721718023884	0.057781037540495905	0.014926989073151672	0.6873138432886532	0.009013978435681858	0.23906522512435913	0.00321648465749018		formal_runs/bisgtar_masked_pairloss_fixedfinal_20260706	formal_runs/bisgtar_masked_pairloss_fixedfinal_20260706/06_metrics/BISGTAR_FIXEDFINAL_E200_SUMMARY_MEAN_SD.tsv
Bi-SGTAR	CDA	Dataset1	circrna_cold	25	0.49682049466679656	0.03777883241819883	0.5237148873954446	0.034672438798688726	0.4991830488344305	0.03744735764214507	0.513189604668242	0.0354853473961314	-0.0016799334230329865	0.0751333230319982	0.2501593054252049	0.0005917308731798686	0.0322416312550481	0.019494905510266364	0.693466092534031	0.0011839753999530417	0.22453514516353607	0.0025131797115040687		formal_runs/bisgtar_masked_pairloss_fixedfinal_20260706	formal_runs/bisgtar_masked_pairloss_fixedfinal_20260706/06_metrics/BISGTAR_FIXEDFINAL_E200_SUMMARY_MEAN_SD.tsv
Bi-SGTAR	CDA	Dataset1	disease_cold	25	0.49621928984357033	0.05004663016608481	0.5791714638206484	0.025439127453083615	0.6587237659970624	0.030056797734221166	0.7304074535384131	0.019022091878545356	0.3744171421560709	0.058361416577634155	0.24996750916968213	0.00033217414363501054	0.15643172803788014	0.02990083686820769	0.6930821705294475	0.0006644351502827787	0.23115782260894777	0.004965067341486022		formal_runs/bisgtar_masked_pairloss_fixedfinal_20260706	formal_runs/bisgtar_masked_pairloss_fixedfinal_20260706/06_metrics/BISGTAR_FIXEDFINAL_E200_SUMMARY_MEAN_SD.tsv
Bi-SGTAR	CDA	Dataset1	strict_cold	25	0.5	0.0	0.5	0.0	0.5	0.0	0.6666666666666667	1.1331166295920987e-16	0.0	0.0	0.25	0.0	0.0	0.0	0.6931471805599452	1.586363281428938e-16	0.23940578520298003	0.005833062195388761		formal_runs/bisgtar_masked_pairloss_fixedfinal_20260706	formal_runs/bisgtar_masked_pairloss_fixedfinal_20260706/06_metrics/BISGTAR_FIXEDFINAL_E200_SUMMARY_MEAN_SD.tsv
MSMCDA	CDA	CircR2Disease	random	25	0.9308591715976333	0.021721982143568484	0.9062214049163755	0.032271389006387145	0.8680000000000001	0.0384890926940381	0.8671054208744252	0.047237597907979996	0.7404161473317467	0.07268566290249823	0.11200882848533601	0.018164760001756076	0.13358876729538088	0.02563646556498189	0.38189781791772875	0.040776209587277845	0.38189781791772875	0.040776209587277845		formal_runs/cda_msmcda_corrected_fullmetric_20260619	formal_runs/cda_msmcda_corrected_fullmetric_20260619/MSMCDA_CORRECTED_FULL100_SUMMARY_MEAN_SD.tsv
MSMCDA	CDA	CircR2Disease	circRNA_cold	25	0.9233943800059299	0.047307448390057356	0.8911293357679206	0.06728396393481935	0.8808996888898704	0.03547812724579966	0.8864231303747553	0.034162901303977575	0.7673642526574259	0.07007810561415909	0.10987789119987931	0.025801368276591415	0.14670251638738965	0.025409940270522346	0.3912413281824799	0.0959557546070409	0.3912413281824799	0.0959557546070409		formal_runs/cda_msmcda_corrected_fullmetric_20260619	formal_runs/cda_msmcda_corrected_fullmetric_20260619/MSMCDA_CORRECTED_FULL100_SUMMARY_MEAN_SD.tsv
MSMCDA	CDA	CircR2Disease	disease_cold	25	0.5941367125132301	0.11793045176700859	0.6140636046717558	0.0913098438692707	0.5561152573543535	0.07796720384127882	0.3929907961744046	0.13520773430482172	0.12659508944686798	0.16864897878368934	0.28958356448883327	0.05160037460274957	0.24788192289286573	0.050768881324407766	0.8755426054382726	0.2369308301497999	0.8755426054382726	0.2369308301497999		formal_runs/cda_msmcda_corrected_fullmetric_20260619	formal_runs/cda_msmcda_corrected_fullmetric_20260619/MSMCDA_CORRECTED_FULL100_SUMMARY_MEAN_SD.tsv
MSMCDA	CDA	CircR2Disease	strict_cold	25	0.6487149900812982	0.15119690393594454	0.6642903927850006	0.1276347111389113	0.5839915370468521	0.09990507174235587	0.44642619747682283	0.19277790398334244	0.1823056416938012	0.215738353634579	0.26997496832291695	0.0637494621785403	0.28484455392074715	0.06798960099124755	0.7822682032007486	0.1955131293239981	0.7822682032007486	0.1955131293239981		formal_runs/cda_msmcda_corrected_fullmetric_20260619	formal_runs/cda_msmcda_corrected_fullmetric_20260619/MSMCDA_CORRECTED_FULL100_SUMMARY_MEAN_SD.tsv
DLST-MDA	MDA	DLST-native	drug_cold	25	0.613706615317761	0.10328327428803935	0.6000924301747114	0.1018368282687981	0.5553043744837365	0.0810821266543516	0.28970374411605476	0.23752363118173123	0.11633933374271485	0.1935117792510094	0.33813836719125484	0.07761239116787394	0.30349014287075404	0.11041013309974221	1.0803982227060915	0.30516103188947585	1.0803982227060915	0.30516103188947585		formal_runs/dlst_native_fixedfinal_fullmetric_20260623	formal_runs/dlst_native_fixedfinal_fullmetric_20260623/06_metrics/DLST_NATIVE_FIXEDFINAL_SUMMARY_MEAN_SD.tsv
DLST-MDA	MDA	DLST-native	mirna_cold	25	0.9310287998059349	0.006026831403092506	0.916800716457124	0.008183931639663617	0.8636215543881965	0.009454349931334911	0.8669202245230653	0.011373231628821149	0.730404180820511	0.01753062897362096	0.10278812986088166	0.007304661065938755	0.04357961649850669	0.02500463867186465	0.3417300517688652	0.023125136177888164	0.3417300517688652	0.023125136177888164		formal_runs/dlst_native_fixedfinal_fullmetric_20260623	formal_runs/dlst_native_fixedfinal_fullmetric_20260623/06_metrics/DLST_NATIVE_FIXEDFINAL_SUMMARY_MEAN_SD.tsv
DLST-MDA	MDA	DLST-native	random	25	0.9316735491541117	0.0027567951922653528	0.9169056080668284	0.0046425981079638075	0.8638646788990826	0.008946255810761904	0.8702570528205709	0.007023535015898452	0.7328121979200519	0.01448728864384808	0.10297882499995024	0.005864293038708331	0.04791537007380289	0.022317696738066634	0.34149712379592195	0.017022954140881733	0.34149712379592195	0.017022954140881733		formal_runs/dlst_native_fixedfinal_fullmetric_20260623	formal_runs/dlst_native_fixedfinal_fullmetric_20260623/06_metrics/DLST_NATIVE_FIXEDFINAL_SUMMARY_MEAN_SD.tsv
DLST-MDA	MDA	DLST-native	scaffold_cold	25	0.5800497496169061	0.0752846420206355	0.5512535419139356	0.06488382697870809	0.5198481580855571	0.05904432020475356	0.25049106262542276	0.16918609315183827	0.035333150468544884	0.1483117687817725	0.34746447305872225	0.05047848168747537	0.31135593859503424	0.07078577257122454	1.0555654739762244	0.1904380021732427	1.0555654739762244	0.1904380021732427		formal_runs/dlst_native_fixedfinal_fullmetric_20260623	formal_runs/dlst_native_fixedfinal_fullmetric_20260623/06_metrics/DLST_NATIVE_FIXEDFINAL_SUMMARY_MEAN_SD.tsv
