dataset	model_seed	candidate_pair_index	controlled_rank	global_rank	miRNA_id	drug_id	strategy	selected_atom_index	selected_atom_element	attention_score	baseline_probability	masked_probability	signed_delta	absolute_delta	contains_metal	analysis_subgroup	analysis_role	original_smiles	upstream_source
MDR	10	42884	5	5	721	8	Low	1	Pt	0.3215872347354889	0.9940998554229736	0.3029642105102539	-0.6911356449127197	0.6911356449127197	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDS	21	117596	17	144	30	6	Low	8	Pt	0.2312233746051788	0.9864550828933716	0.2978180348873138	-0.6886370480060577	0.6886370480060577	1	metal	confirmatory_seed1_24	[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDS	21	13823	15	119	63	6	Low	8	Pt	0.2312233746051788	0.9855502843856812	0.2981623411178589	-0.6873879432678223	0.6873879432678223	1	metal	confirmatory_seed1_24	[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDS	20	13823	15	119	63	6	Low	8	Pt	0.2657652199268341	0.9265011548995972	0.2541598379611969	-0.6723413169384003	0.6723413169384003	1	metal	confirmatory_seed1_24	[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDS	6	89169	3	3	20	7	Low	1	Pt	0.3111920952796936	0.9960790276527404	0.3621183633804321	-0.6339606642723083	0.6339606642723083	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDS	6	75988	2	2	602	7	Low	1	Pt	0.3111920952796936	0.9966478943824768	0.3662508726119995	-0.6303970217704773	0.6303970217704773	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDR	22	67442	2	2	1092	8	Low	1	Pt	0.2803528904914856	0.9782394766807556	0.3623570799827575	-0.615882396697998	0.615882396697998	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDR	7	42506	3	3	265	8	Low	1	Pt	0.3186224102973938	0.9844271540641784	0.3701599538326263	-0.6142672002315521	0.6142672002315521	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDS	20	117596	17	144	30	6	Low	8	Pt	0.2657652199268341	0.946129024028778	0.3381073772907257	-0.6080216467380524	0.6080216467380524	1	metal	confirmatory_seed1_24	[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDR	15	67442	2	2	1092	8	Low	1	Pt	0.2794348895549774	0.9907421469688416	0.4159834682941437	-0.5747586786746979	0.5747586786746979	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDR	15	42884	5	5	721	8	Low	1	Pt	0.2794348895549774	0.9849225282669068	0.4103088974952698	-0.574613630771637	0.574613630771637	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDR	22	42506	3	3	265	8	Low	1	Pt	0.2803528904914856	0.9849215149879456	0.4159731566905975	-0.568948358297348	0.568948358297348	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDS	11	39931	1	1	395	7	Low	1	Pt	0.2862505316734314	0.9938586354255676	0.4255593121051788	-0.5682993233203888	0.5682993233203888	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDR	7	42884	5	5	721	8	Low	1	Pt	0.3186224102973938	0.9863242506980896	0.4211615324020386	-0.565162718296051	0.565162718296051	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
MDR	22	42884	5	5	721	8	Low	1	Pt	0.2803528904914856	0.9871644973754884	0.4247936010360718	-0.5623708963394165	0.5623708963394165	1	metal	confirmatory_seed1_24	[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_RAW_10000.tsv
