n_test_pairs	n_pos	n_neg	prevalence	AUROC	AUPR_raw	AUPR_normalized	dataset	setting	seed	similarity_bin	n_test_drugs	mean_max_train_drug_tanimoto	valid_metric_seed	upstream_source
1549	677	872	0.4370561652679148	0.6177059477186183	0.5096109350108899	0.12888456230718864	MDR	drug_cold	21	Low	10	0.25518100879960365	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
400	265	135	0.6625	0.6008665269042628	0.7642970060718459	0.3016207587313954	MDR	drug_cold	22	High	3	0.7986333675740457	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
608	227	381	0.37335526315789475	0.5352133846705286	0.4377742583387665	0.10279986632538061	MDR	drug_cold	22	Medium	10	0.5134194563987072	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
1382	703	679	0.5086830680173662	0.4458024414616927	0.4498377875436828	-0.11977051195085482	MDR	drug_cold	22	Low	17	0.2563691552467626	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
804	638	166	0.7935323383084577	0.647665898704536	0.8612753017814485	0.32810447368846146	MDR	drug_cold	23	High	5	0.7923302571802946	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
272	84	188	0.3088235294117647	0.7621580547112462	0.57878094999017	0.39057669360279923	MDR	drug_cold	23	Medium	5	0.6038233348895115	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
1366	499	867	0.36530014641288433	0.5053174399548809	0.3785659013798235	0.020900831931763425	MDR	drug_cold	23	Low	22	0.2057565933506351	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
657	489	168	0.7442922374429224	0.5311130587204207	0.7318017719227717	-0.04884664194487487	MDR	drug_cold	24	High	3	0.9340855931320582	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
269	86	183	0.31970260223048325	0.8063286313381625	0.6561446727826734	0.494551458899121	MDR	drug_cold	24	Medium	3	0.587564093612862	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
1272	524	748	0.4119496855345912	0.5185686002367637	0.3965956835450253	-0.026110014078513197	MDR	drug_cold	24	Low	13	0.22913827115508043	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
618	547	71	0.8851132686084142	0.7740814172052424	0.9612494373382782	0.66270637007121	MDS	drug_cold	0	High	3	0.9515042130946659	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
