Resource	Platform	Dataset	Metric	top_frac	top_k	n_pairs	n_drugs	n_precursors	Spearman(score, external)	P_spearman	Top_mean	Background_mean	Enrichment_ratio	Empirical_p	source	upstream_source
CellMiner	OSU	MDS	is_p_lt_0_05	0.01	101	10094	51	198	0.0186808134986989	0.0605493337611856	0.2277227722772277	0.1601941747572815	1.4215421542154214	0.046990601879624	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed10_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDS	is_fdr_lt_0_1	0.01	101	10094	51	198	0.0186808134986989	0.0605493337611856	0.0396039603960396	0.0244699821676243	1.6184711588567764	0.241751649670066	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed10_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDS	is_fdr_lt_0_05	0.01	101	10094	51	198	0.0186808134986989	0.0605493337611856	0.0198019801980198	0.0065385377451951	3.0285028502850286	0.1439712057588482	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed10_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDS	abs_spearman_rho	0.05	505	10094	51	198	0.0186808134986989	0.0605493337611856	0.1691435758606951	0.1454008000944035	1.163291919651586	0.0001999600079984	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed10_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDS	is_p_lt_0_05	0.05	505	10094	51	198	0.0186808134986989	0.0605493337611856	0.2237623762376237	0.1601941747572815	1.3968196819681968	0.0001999600079984	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed10_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDS	is_fdr_lt_0_1	0.05	505	10094	51	198	0.0186808134986989	0.0605493337611856	0.0455445544554455	0.0244699821676243	1.8612418326852929	0.0027994401119776	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed10_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDS	is_fdr_lt_0_05	0.05	505	10094	51	198	0.0186808134986989	0.0605493337611856	0.0138613861386138	0.0065385377451951	2.11995199519952	0.0495900819836032	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed10_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDS	abs_spearman_rho	0.1	1010	10094	51	198	0.0186808134986989	0.0605493337611856	0.1646416931172162	0.1454008000944035	1.13233003539403	0.0001999600079984	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed10_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDS	is_p_lt_0_05	0.1	1010	10094	51	198	0.0186808134986989	0.0605493337611856	0.2138613861386138	0.1601941747572815	1.335013501350135	0.0001999600079984	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed10_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDS	is_fdr_lt_0_1	0.1	1010	10094	51	198	0.0186808134986989	0.0605493337611856	0.0495049504950495	0.0244699821676243	2.0230889485709707	0.0001999600079984	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed10_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
